categories,category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku,sku_array,title
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle29002a-tle01502a1-tln01102a_629ebe7abe9f1_3c44f82c17af413f949db02a8eef480e_medium.jpeg,Vòi cảm ứng nước lạnh TOTO TLE29002A/TLE01502A1/TLN01102A,"10,670,000₫","8,322,600₫",True,https://tototuantu.vn/products/voi-cam-ung-nuoc-lanh-toto-tle29002a-tle01502a1-tln01102a,2025-04-10 14:02:16,TLE29002V/TLE01502A1/TLN01102A,TLE29002V/TLE01502A1/TLN01102A,Vòi cảm ứng nước lạnh TOTO TLE29002A/TLE01502A1/TLN01102A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle28002a_62a1b3a42665d_7353e76ce4b84b1685a187b9b9f8854b_medium.jpeg,Vòi cảm ứng nhiệt độ TOTO TLE28002A/TLE03502A1/TLN01103A/TLE05701A,"17,880,000₫","13,946,400₫",True,https://tototuantu.vn/products/voi-cam-ung-nhiet-do-toto-tle28002a-tle03502a1-tln01103a-tle05701a,2025-04-10 14:03:23,TLE28002A/TLE03502A1/TLN01103A/TLE05701A,TLE28002A/TLE03502A1/TLN01103A/TLE05701A,Vòi cảm ứng nhiệt độ TOTO TLE28002A/TLE03502A1/TLN01103A/TLE05701A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle28002a_62a19fd1486ac_ccd83d8a3c834366b1bdb9a037b484bd_medium.jpeg,Vòi cảm ứng nhiệt độ TOTO TLE28002A/TLE01502A1/TLN01103A/TLE05701A,"16,520,000₫","12,885,600₫",True,https://tototuantu.vn/products/voi-cam-ung-nhiet-do-toto-tle28002a-tle01502a1-tln01103a-tle05701a,2025-04-10 14:04:31,TLE28002A/TLE01502A1/TLN01103A/TLE05701A,TLE28002A/TLE01502A1/TLN01103A/TLE05701A,Vòi cảm ứng nhiệt độ TOTO TLE28002A/TLE01502A1/TLN01103A/TLE05701A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle28002a-tle03502a1_62a1a8f4b6aaf_3e27f18451c6419bad7f875f594099a9_medium.jpeg,Vòi cảm ứng nước lạnh TOTO TLE28002A/TLE03502A1/TLN01102A,"12,710,000₫","9,913,800₫",True,https://tototuantu.vn/products/voi-cam-ung-nuoc-lanh-toto-tle28002a-tle03502a1-tln01102a,2025-04-10 14:05:37,TLE28002A/TLE03502A1/TLN01102A,TLE28002A/TLE03502A1/TLN01102A,Vòi cảm ứng nước lạnh TOTO TLE28002A/TLE03502A1/TLN01102A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle28002a_62a1c1fe7a5c9_c330b7f3d26d4e43bfc37abaad3ce8be_medium.jpeg,Vòi cảm ứng nước lạnh TOTO TLE28002A/TLE01502A1/TLN01102A,"11,350,000₫","8,853,000₫",True,https://tototuantu.vn/products/voi-cam-ung-nuoc-lanh-toto-tle28002a-tle01502a1-tln01102a,2025-04-10 14:06:44,TLE28002A/TLE01502A1/TLN01102A,TLE28002A/TLE01502A1/TLN01102A,Vòi cảm ứng nước lạnh TOTO TLE28002A/TLE01502A1/TLN01102A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/voi-cam-ung-toto-tle27002a-tle03502a1-tln0113a-tle05701a_62a1a0d5cb908_7ee1344829b4492195716b89dd0fdd56_medium.jpeg,Vòi cảm ứng nhiệt độ TOTO TLE27002A/TLE03502A1/TLN01103A/TLE05701A,"17,560,000₫","13,696,800₫",True,https://tototuantu.vn/products/voi-cam-ung-nhiet-do-toto-tle27002a-tle03502a1-tln01103a-tle05701a,2025-04-10 14:07:50,TLE27002A/TLE03502A1/TLN01103A/TLE05701A,TLE27002A/TLE03502A1/TLN01103A/TLE05701A,Vòi cảm ứng nhiệt độ TOTO TLE27002A/TLE03502A1/TLN01103A/TLE05701A
,voi,https://product.hstatic.net/1000238289/product/tle27002a_62a1a49be3a7b_cd6e61c205a34cfca304aba04fdc831a_medium.jpeg,Vòi cảm ứng nhiệt độ TOTO TLE27002A/TLE01502A1/TLN01103A/TLE05701A,"16,200,000₫","12,636,000₫",False,https://tototuantu.vn/products/voi-cam-ung-nhiet-do-toto-tle27002a-tle01502a1-tln01103a-tle05701a,2025-04-10 14:09:04,,,
,voi,https://product.hstatic.net/1000238289/product/tle27002a_62a1904caecb9_e171afc9af4544d3836dcff0d86cf3ab_medium.jpeg,Vòi cảm ứng nước lạnh TOTO TLE27002A/TLE03502A1/TLN01102A,"12,390,000₫","9,664,200₫",False,https://tototuantu.vn/products/voi-cam-ung-nuoc-lanh-toto-tle27002a-tle03502a1-tln01102a,2025-04-10 14:10:13,,,
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/voi-cam-ung-toto-tle27002a-tle01502a1-tln01102a-740x740_7ff10638094240dbbe15f1638741f91b_medium.jpeg,Vòi Lavabo Cảm Ứng TOTO TLE27002A/TLE01502A1/TLN01102A 220V 2L,"11,350,000₫","8,853,000₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-loai-gan-ban-tle27002a-1,2025-04-10 14:11:01,TLE27002V/TLE01502V/TLN01102A,TLE27002V/TLE01502V/TLN01102A,Vòi Lavabo Cảm Ứng TOTO TLE27002A/TLE01502A1/TLN01102A 220V 2L
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower_2_1_1_d078a37baed74720b42652c5dc5cb304_medium.jpg,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE04502V/TLN01103A/TLE05701A,"9,030,000₫","7,043,400₫",True,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-toto-tle04502v-tln01103a-tle05701a,2025-04-10 14:12:10,TLE04502V/TLN01103A/TLE05701A,TLE04502V/TLN01103A/TLE05701A,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE04502V/TLN01103A/TLE05701A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower_2_1_1_e4068f53397e40dea9d1c67b506d1c32_medium.jpg,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE03502A1/TLN01103A/TLE05701A Tự Tạo Nặng Lượng Nhiệt Độ,"11,070,000₫","8,634,600₫",True,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-kem-day-cap-van-dung-van-nhiet-do-tle03502a1-tln01103a-tle05701a,2025-04-10 14:13:27,TLE03502A1/TLN01103A/TLE05701A,TLE03502A1/TLN01103A/TLE05701A,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE03502A1/TLN01103A/TLE05701A Tự Tạo Nặng Lượng Nhiệt Độ
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower_2_2475f8a813e346658175a2ddaf5dbb5b_medium.jpg,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE01502A1/TLN01103A/TLE05701A 220V Nhiệt Độ,"9,710,000₫","7,573,800₫",True,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-kem-day-cap-van-dung-van-nhiet-do-tle01502a1-tln01103a-tle05701a,2025-04-10 14:14:44,TLE01502A1/TLN01103A/TLE05701A,TLE01502A1/TLN01103A/TLE05701A,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE01502A1/TLN01103A/TLE05701A 220V Nhiệt Độ
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower_1_1_b809cb3b6aa24c53ad6a85eaba292960_medium.jpg,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE04502V/TLN01102A,"3,860,000₫","3,010,800₫",True,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-toto-tle04502v-tln01102a,2025-04-10 14:15:59,TLE04502V/TLN01102A,TLE04502V/TLN01102A,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE04502V/TLN01102A
