name,product_url,price,original_price,image_url,sku,category
Bồn Cầu Điện Tử TOTO MS885DW18 Nắp Rửa Washlet TCF23710AAA C2,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms885dw18-nap-rua-washlet-tcf23710aaa-c2,"16,172,520₫","19,253,000₫",https://product.hstatic.net/1000238289/product/ms885-c2_1_2004b66fc6184973a32e8292e2c9724e_medium.jpg,,bon-cau
Bàn cầu TOTO treo tường cao cấp CW812REA / TCF4911EZ / WH172AAT,https://tototuantu.vn/products/ban-cau-toto-treo-tuong-cao-cap-cw812rea-tcf4911ez-wh172aat-2,"58,555,560₫","69,709,000₫",https://product.hstatic.net/1000238289/product/cw812rea__1__d8ac46545a144428ae00aceadc116e7a_4821d3f0467b40ebac83b9b0caa9a286_medium.jpg,,bon-cau
Bồn cầu treo tường TOTO CW822REA TCF4911EZ WH172AAT TCA464 MB171MSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw822rea-tcf4911ez-wh172aat-tca464-mb171mss,"54,610,000₫","72,797,000₫",https://product.hstatic.net/1000238289/product/cw822rea_tcf4911ez_4x_a3f2971c5fe247aa9bf2b07695810ae3_medium.png,,bon-cau
Bồn Cầu Điện Tử TOTO CS326DW16 Nắp Rửa Washlet TCF23410AAA C2,https://tototuantu.vn/products/bon-cau-dien-tu-toto-cs326dw16-nap-rua-washlet-tcf23410aaa-c2,"15,009,960₫","17,869,000₫",https://product.hstatic.net/1000238289/product/cs326dw16_xw_508523cb66f04b58a5b8e242d93a25e4_medium.jpg,,bon-cau
Bàn cầu nắp điện tử CS767CRW12#XW,https://tototuantu.vn/products/ban-cau-nap-dien-tu-cs767cw12-xw,"34,093,920₫","40,588,000₫",https://product.hstatic.net/1000238289/product/cs767cw12_403d132cf6d54aa89c7e6aa77ef15fa0_medium.jpg,,bon-cau
Bàn cầu nắp điện tử CS769DRW11#XW,https://tototuantu.vn/products/ban-cau-hai-khoi-cs769dw11-xw-1,"32,955,720₫","39,233,000₫",https://product.hstatic.net/1000238289/product/cs769dw11_5262f8e46b5f4d3883ae9360a5bd5291_aed357f289c841c891e9453ec1e045b6_medium.jpg,,bon-cau
Bàn Cầu Điện Tử TOTO MS188VKW11 Nắp Tự Động Đóng Mở,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms188vkw11-nap-tu-dong-dong-mo,"35,640,000₫","47,520,000₫",https://product.hstatic.net/1000238289/product/ms188vkw11_1ad45bd900d84fbd97cb8a36ca760011_medium.jpeg,,bon-cau
Bàn cầu một khối MS889CDRW12#XW,https://tototuantu.vn/products/ban-cau-mot-khoi-ms889cdrw12-xw,"34,322,000₫","45,763,000₫",https://product.hstatic.net/1000238289/product/ms889drw11_1_485e388eb1f44cd8a31a7e9fb5563c0c_medium.png,,bon-cau
Bàn cầu nắp điện tử MS887RW11#XW,https://tototuantu.vn/products/ban-cau-nap-dien-tu-ms887rw11-xw,"33,181,000₫","44,241,000₫",https://product.hstatic.net/1000238289/product/ms887w11_96a9d322f34d456587a1a93cb96d7043_8dbe335442f34a24b8cdf137628521d1_medium.jpg,,bon-cau
Bàn cầu nắp rửa điện tử MS885CDW12,https://tototuantu.vn/products/ban-cau-nap-rua-dien-tu-ms885cdw12-xw,"32,776,000₫","43,701,000₫",https://product.hstatic.net/1000238289/product/ms885cdw12_f3272ee883c04ca5a9bd4084d59f8e8c_medium.jpg,,bon-cau
Bồn cầu nắp rửa điện tử MS636CDRW12 nắp Washlet TCF4911EZ,https://tototuantu.vn/products/bon-cau-nap-rua-dien-tu-ms636cdrw12-nap-washlet-tcf4911ez,"41,740,000₫","55,649,000₫",https://product.hstatic.net/1000238289/product/ms636cdrw12_ac393254db174c3996259cc2971ed902_26f1373aa60a48e49f49622a469f103e_medium.jpg,,bon-cau
Bồn Cầu Điện Tử TOTO MS625CDW12 Nắp Washlet Giấu Dây C7,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms625cdw12-nap-washlet-giau-day-c7,"38,247,000₫","50,996,000₫",https://product.hstatic.net/1000238289/product/ms625cdw12_xw_5dea1526f82a4783bf9fd0dd7882006c_medium.jpg,,bon-cau
Bàn cầu neorest CS901KVT/T53P100VR,https://tototuantu.vn/products/ban-cau-neorest-cs901kvt-nw1-t53p100vr-3,"328,084,680₫","390,577,000₫",https://product.hstatic.net/1000238289/product/cs901kvtnw1_e80f0994651245a29ee9560c9d843c77_f81d070a13b84d828eeff8bee004066d_medium.jpg,,bon-cau
Bàn cầu NEOREST CS901VT/T53P100VR,https://tototuantu.vn/products/ban-cau-neorest-cs901kvt-nw1-t53p100vr-2,"328,084,680₫","390,577,000₫",https://product.hstatic.net/1000238289/product/cs901vtnw1_c704e322bbb548978dd8d6e405498ae6_d1fe95ac296243cd97fbc028198a3882_medium.jpg,,bon-cau
Bàn cầu neorest CW993VA/TCF993WA/T53P100VR,https://tototuantu.vn/products/cw993va-nw1-tcf993wa-nw1-t53p100v-1,"271,332,600₫","323,015,000₫",https://product.hstatic.net/1000238289/product/cw993va-tcf993wanw1-t53p100vr_2_32683283f9bf47139fdf1e9f453e2002_medium.jpg,,bon-cau
Bàn cầu neorest CS900KVT/T53P100VR,https://tototuantu.vn/products/ban-cau-neorest-cs900kvt-nw1-t53p100vr-1,"215,699,400₫","256,785,000₫",https://product.hstatic.net/1000238289/product/cs900kvtnw1_809f57741a93411483ed533992fdf82f_0ded645761714b9ab7092e6cd859cc1a_medium.jpg,,bon-cau
