categories,category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku,sku_array,title
"Chậu rửa, Chậu dương vành",chau-rua,https://product.hstatic.net/1000238289/product/lt763_1_03ad08dd0f514c8b8121a0e6511df300_fb1dcd4d71754edfa54011af49b9156e_medium.jpg,Chậu đặt dương vành L763,"1,669,000₫","1,301,820₫",True,https://tototuantu.vn/products/chau-dat-duong-vanh-l763-xw-1,2025-04-10 10:43:34,L763#XW,L763#XW,Chậu đặt dương vành L763
"Chậu rửa, Chậu dương vành",chau-rua,https://hstatic.net/0/0/global/noDefaultImage6_medium.gif,Chậu Rửa Lavabo TOTO L501C Dương Vành,"1,178,000₫","942,400₫",True,https://tototuantu.vn/products/chau-dat-duong-vanh-l501c-w-1,2025-04-10 10:44:50,L501C#XW,L501C#XW,Chậu Rửa Lavabo TOTO L501C Dương Vành
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/upload_46103f7268834fd49a34a255cff61244_702c534572784c2aba6294800c6dccf0_medium.jpg,Chậu đặt trên bàn LW893CJW/F,"3,142,000₫","2,450,760₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-lw893cjw-f,2025-04-10 10:46:06,LW893CJW/F#W,LW893CJW/F#W,Chậu đặt trên bàn LW893CJW/F
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/capture_5_1da2c9e41b944365ae7cff50dd041ba8_c0f5258c98ce4f9d98496890f0e4d83a_medium.png,Chậu đặt bàn LT1735#XW,"5,685,000₫","4,434,300₫",True,https://tototuantu.vn/products/chau-dat-ban-lt1735-xw,2025-04-10 10:46:53,LT1735#XW,LT1735#XW,Chậu đặt bàn LT1735#XW
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/capture_2_55098ce9d4c346289dc54768cffdf732_04843c6e34444716bbdea0b423e77d38_medium.png,Chậu đặt bàn LT1705,"5,685,000₫","4,434,300₫",True,https://tototuantu.vn/products/chau-dat-ban-lt1705,2025-04-10 10:47:49,LT1705#XW,LT1705#XW,Chậu đặt bàn LT1705
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw1536v_xw_tl516gv_fd0b52df845f4dd193aa14ce90441928_f2efee22a8bb49f5af0bef73e14542b2_medium.png,Chậu đặt âm bàn LW1535V/TL516GV,"4,697,000₫","3,757,600₫",True,https://tototuantu.vn/products/chau-dat-am-ban-lw1535v-tl516gv,2025-04-10 10:48:45,LW1535V#XW/TL516GV,LW1535V#XW/TL516GV,Chậu đặt âm bàn LW1535V/TL516GV
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw1535v_xw_tl516gv_7ec78eb0eef84c43a1cb5ffd03026140_8cb2aaa43c8e45518fb918e4b15b0968_medium.png,Chậu đặt âm bàn LW1535V,"3,407,000₫","2,657,460₫",True,https://tototuantu.vn/products/chau-dat-am-ban-lw1535v,2025-04-10 10:49:32,LW1535V#XW,LW1535V#XW,Chậu đặt âm bàn LW1535V
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw1506v_xw_tl516gv_8d8079f32396424e9e6e3a9957689a09_b81276e3917d436eaea76a0cc1a6eb84_medium.png,Chậu rửa âm bàn LW1506V/TL516GV,"4,451,000₫","3,560,800₫",True,https://tototuantu.vn/products/chau-rua-am-ban-lw1506v-tl516gv,2025-04-10 10:50:20,LW1506V#XW/TL516GV,LW1506V#XW/TL516GV,Chậu rửa âm bàn LW1506V/TL516GV
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw1505v_xw_tl516gv_ec98fd7c0c6d4090aeea13724d5d79e6_24bc0558c49140bf8e5dd1593d062cb4_medium.png,Chậu đặt âm bàn LW1505V,"3,872,000₫","3,097,600₫",True,https://tototuantu.vn/products/chau-dat-am-ban-lw1505v,2025-04-10 10:50:58,LW1505V#XW/TL516GV,LW1505V#XW/TL516GV,Chậu đặt âm bàn LW1505V
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt765_ed6f89351ed247b2b2226fc3e37c1088_72fe62a23e474ea2ba96eb43e2e860e1_medium.jpg,Chậu đặt âm bàn LT765,"2,936,000₫","2,290,080₫",True,https://tototuantu.vn/products/chau-dat-am-ban-lt765,2025-04-10 10:51:44,LT765#XW,LT765#XW,Chậu đặt âm bàn LT765
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt764_01_e78b7ca3d41e42dbaba1e9176119f633_0ed1e3fe632b4b8f801485d75d6987e5_medium.jpg,Chậu đặt âm bàn LT764,"2,936,000₫","2,290,080₫",True,https://tototuantu.vn/products/chau-dat-am-ban-lt764-xw-1,2025-04-10 10:52:51,LT764#XW,LT764#XW,Chậu đặt âm bàn LT764
"Chậu rửa, Chậu bán âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt533r_d2e56ba7cd7f458e83da32f0d99f8362_f689263afa4144b0975de47e2dd2451a_medium.jpg,Chậu bán âm bàn LT533R,"2,405,000₫","1,924,000₫",True,https://tototuantu.vn/products/chau-ban-am-ban-lt533r,2025-04-10 10:54:07,LT533R#XW,LT533R#XW,Chậu bán âm bàn LT533R
"Chậu rửa, Chậu rửa treo tường",chau-rua,https://product.hstatic.net/1000238289/product/upload_7fd10033edd84605a3cb2299ab3839ec_331d2e213b05490490465f62d19e32ac_medium.jpg,Chậu chân lửng LW196K,"8,075,000₫","6,298,500₫",True,https://tototuantu.vn/products/chau-chan-lung-lw196k-wh-lw196hfk-wh-1,2025-04-10 10:55:24,LW196K#XW/LW196HFK#WH/TX801LN,LW196K#XW/LW196HFK#WH/TX801LN,Chậu chân lửng LW196K
"Chậu rửa, Chậu rửa treo tường",chau-rua,https://product.hstatic.net/1000238289/product/medium_lw780j-lw780fj_0e2a078786264e38a7ac49a8739fef20_48b7e9cbcace4375913829b3c28b5ea5_medium.jpg,Chậu chân dài CLAYTON LW780J/LW780FJ/TX801LN/TL510ERR,"15,748,000₫","12,283,440₫",True,https://tototuantu.vn/products/chau-chan-dai-clayton-lw780j-w-lw780fj-w-1,2025-04-10 10:56:31,LW780J#W/LW780FJ#W/TX801LN/TL510ERR,LW780J#W/LW780FJ#W/TX801LN/TL510ERR,Chậu chân dài CLAYTON LW780J/LW780FJ/TX801LN/TL510ERR
"Chậu rửa, Chậu bán âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw647cjw_305f6767db4e4b6fab4ada0e7113f5aa_81e1dce264f0450a9898eda011b8a4d4_medium.jpg,Chậu bán âm bàn TOTO LT647CR#XW,"4,300,000₫","3,354,000₫",True,https://tototuantu.vn/products/chau-ban-am-ban-toto-lt647cr-xw-1,2025-04-10 10:57:37,LT647CS#XW,LT647CS#XW,Chậu bán âm bàn TOTO LT647CR#XW
"Chậu rửa, Chậu bán âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw646jwf_ebe16bce0c4f4b1bb5319f4107f5cf9a_f42011b664c44cf28b8197e27d35f30a_medium.jpg,Chậu bán âm bàn LW646JW/F,"4,752,000₫","3,706,560₫",True,https://tototuantu.vn/products/chau-ban-am-ban-lw646jw-f-w-1,2025-04-10 10:58:55,LW646JW/F#W,LW646JW/F#W,Chậu bán âm bàn LW646JW/F
"Chậu rửa, Chậu bán âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw642cjw_d7fc0ececb0f4b49b9d36c8a7462eac4_45c2938e19084d3d8638085e0d15df7a_medium.jpg,Chậu bán âm bàn LW642CJW/F,"5,032,800₫","3,925,584₫",True,https://tototuantu.vn/products/chau-ban-am-ban-lw642cjw-f-w-1,2025-04-10 11:00:21,LW642CJW/F#W,LW642CJW/F#W,Chậu bán âm bàn LW642CJW/F
"Chậu rửa, Chậu bán âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw641ncjw_532c713328f64c4eb284ec7414a022a2_65dfefe3ee8b4567905f8b582bfde4df_medium.jpg,Chậu bán âm bàn LW641NCJW/F,"5,518,800₫","4,304,664₫",True,https://tototuantu.vn/products/chau-ban-am-ban-lw641ncjw-f-w-1,2025-04-10 11:01:58,LW641NCJW/F#W,LW641NCJW/F#W,Chậu bán âm bàn LW641NCJW/F
,chau-rua,https://product.hstatic.net/1000238289/product/lt1515_c7cedc6f134740729853881143e33f77_4f19da6bdfd940e5be1c785c92a32a84_medium.jpg,Chậu âm bàn CONTEMPORARY LT1515,"4,546,000₫","3,545,880₫",False,https://tototuantu.vn/products/chau-am-ban-contemporary-lt1515-xw-1,2025-04-10 11:03:14,,,
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/tl516gv_ee73744cbbd84ccbb3c31b8cf444237a_667c18d1c8c9479c859f055ccb10a96b_medium.jpg,Bộ giá đỡ chậu âm bàn TL516GV,,"1,290,000₫",True,https://tototuantu.vn/products/bo-gia-do-chau-am-ban-tl516gv-1,2025-04-10 11:03:47,TL516GV,TL516GV,Bộ giá đỡ chậu âm bàn TL516GV
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt505t_574c0d2c7d6d4c9c8dbac15beb592514_medium.jpg,Chậu đặt âm bàn LT505T,"3,358,000₫","2,686,400₫",True,https://tototuantu.vn/products/chau-dat-am-ban-lt505t,2025-04-10 11:05:04,LT505T#XW,LT505T#XW,Chậu đặt âm bàn LT505T
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw574jwf_d97436273c2f45a8a94cebf907b948f4_medium.jpg,Chậu đặt trên bàn LW574JW/F,"4,320,000₫","3,369,600₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-lw574jw-f,2025-04-10 11:06:10,LW574JW/F#W,LW574JW/F#W,Chậu đặt trên bàn LW574JW/F
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/pjs03w_3_08553aea571b48b69be1561145376ac0_medium.jpg,Chậu rửa đặt trên bàn PJS03WE#MW,"24,320,000₫","18,969,600₫",True,https://tototuantu.vn/products/chau-rua-dat-tren-ban-pjs03we-mw,2025-04-10 11:07:07,PJS03WE#MW,PJS03WE#MW,Chậu rửa đặt trên bàn PJS03WE#MW
"Chậu rửa, Chậu rửa treo tường",chau-rua,https://product.hstatic.net/1000238289/product/lht300cr_01_36859f70a4454ad09ff978a7247eb6a5_medium.jpg,Chậu rửa chân lửng LHT300CR,"1,728,000₫","1,382,400₫",True,https://tototuantu.vn/products/chau-rua-chan-lung-lht300cr-w,2025-04-10 11:08:13,LHT300CR#W,LHT300CR#W,Chậu rửa chân lửng LHT300CR
,chau-rua,https://product.hstatic.net/1000238289/product/lt300c_2d44a6eca3944adf8463589ad0ef3175_medium.jpg,Chậu rửa treo tường TOTO LT300C,"893,000₫","714,400₫",False,https://tototuantu.vn/products/chau-rua-treo-tuong-lt300c-w,2025-04-10 11:09:30,,,
"Chậu rửa, Chậu đặt bàn",chau-rua,https://hstatic.net/0/0/global/noDefaultImage6_medium.gif,Chậu Rửa Lavabo TOTO LT952 Đặt Bàn,"3,819,000₫","2,978,820₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-lt952,2025-04-10 11:10:05,LT952#XW,LT952#XW,Chậu Rửa Lavabo TOTO LT952 Đặt Bàn
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2024-06-11_luc_09.59.37_ad9ecc6bb9dc403e9e765ae945d8afe1_medium.png,Chậu Lavabo TOTO LT546 Âm Bàn Oval,"2,347,000₫","1,877,600₫",True,https://tototuantu.vn/products/chau-lavabo-toto-lt546-am-ban-oval,2025-04-10 11:11:11,LT546#XW,LT546#XW,Chậu Lavabo TOTO LT546 Âm Bàn Oval
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/xlt548_1.jpg.pagespeed.ic.vop5f4cocn_633efad29764424caab28d7ee92b08ea_medium.jpeg,Chậu đặt âm bàn LT548,"2,729,000₫","2,183,200₫",True,https://tototuantu.vn/products/chau-lavabo-toto-lt548-am-ban,2025-04-10 11:12:27,LT548#XW,LT548#XW,Chậu đặt âm bàn LT548
"Chậu rửa, Chậu dương vành",chau-rua,https://product.hstatic.net/1000238289/product/lw909cks_1_88b7ae0fe043452a9fea4a77245795f3_medium.jpg,Chậu đặt dương vành L909C,"3,093,000₫","2,474,400₫",True,https://tototuantu.vn/products/chau-dat-duong-vanh-l909c-xw,2025-04-10 11:13:44,L909C#XW,L909C#XW,Chậu đặt dương vành L909C
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/upload_bc8df0c4af4747cab89c6a8222487b69_medium.jpg,Chậu rửa đặt bàn LW573JW/F,"4,320,000₫","3,369,600₫",True,https://tototuantu.vn/products/chau-rua-dat-ban-lw573jw-f,2025-04-10 11:15:00,LW573JW/F#W,LW573JW/F#W,Chậu rửa đặt bàn LW573JW/F
